score,avg_score,goal,avg_goals,path_length,optimal_length,normalized_score
-9864.306723741374,-6418.569433447595,1,84,0.7800801629557056,0.9611109583855716,1.2320669131540847
1290.3126138870414,-6341.480612974248,0,84,0.6206004119679981,1.9655220522922137,0
-6749.339205882659,-6345.51881686443,1,85,6.2450280741957185,4.7116413404530215,0.7544627957593004
5786.117142055043,-6191.722508742925,0,84,4.341021203132469,6.023656706477267,0
-5540.1783289704845,-6156.425533828747,1,84,8.611860531174486,5.28154826471391,0.6132877147272626
-8247.960052117583,-6168.172242448534,1,84,4.927678259119664,2.788399171721523,0.5658646983619572
-4964.894400999338,-6169.542256080454,1,84,8.719918211157331,4.2664707658811025,0.4892787595670401
-7644.1780767617565,-6179.266085595514,1,84,3.8137369298642603,3.930139305808115,1.0305218682055235
-9578.568416774835,-6177.446329433915,1,84,2.523243860943998,1.9026618135139424,0.7540538760300864
-1815.3671309722804,-6097.079854752649,1,84,9.709504629592347,5.471106052262142,0.5634794215543668
-4980.886757931636,-6071.315281330503,1,84,7.478652233557521,4.618679410116715,0.6175817869150542
-7636.1854035667875,-6095.342315452423,1,84,4.877760790742052,4.144813839170644,0.8497370037164318
-7875.235260806843,-6110.122668454431,1,84,5.703535058982787,3.491738495903659,0.6122060195640145
-6261.201850889205,-6075.798097874552,1,84,7.508212681060773,5.316018241523352,0.708027125408
1134.0635753923398,-5972.870938897508,0,83,0.3951141804678192,3.4737017055390553,0
2143.8901269827375,-5863.246893604218,0,82,3.1363295600398335,2.0285374299070327,0
-9051.687241723444,-5866.090601527595,1,82,3.875640066555564,2.892270538909825,0.7462691295480133
2883.463900330991,-5743.192374899127,0,81,1.9208511008034737,4.3687883421621105,0
-8966.636797458308,-5738.1241696857305,1,81,3.705733027361389,2.656652654339836,0.716903412826656
-9379.490954405244,-5744.5719037371455,1,81,3.2484828923521514,2.475803823733177,0.762141561392218
-9872.093803912696,-5744.81421204403,1,81,0.87602255937363,0.7253164837424013,0.8279655312313122
3869.3396634382343,-5655.773961275635,0,80,2.861107116924912,5.362746072090826,0
-9227.994432709756,-5759.155881462886,1,81,3.0468277876406717,2.21773115902848,0.72788201815167
-9303.421470522453,-5770.63414138964,1,81,3.1631531164532802,2.309773192942672,0.7302122622291931
-7147.035280802158,-5765.69324003339,1,81,6.0562297110667975,3.793063521673556,0.6263077364358117
